model,split,accuracy,precision,recall,f1,mcc,roc_auc,auprc,recall@1%fpr,recall@5%fpr,fpr
TF-IDF + LR,,0.8484,0.6051,0.8255,0.6983,0.6131,0.9201,0.7579,0.2648,0.5861,
TF-IDF + LR,,0.5867,0.5217,0.84,0.6437,0.2467,0.7361,0.7165,0.09,0.305,
TF-IDF + LR,,0.635,0.6588,0.56,0.6054,0.2731,0.6838,0.724,0.16,0.27,
TF-IDF + LR,,0.6088,0.5143,0.2738,0.3573,0.1238,0.4939,0.4385,0.0152,0.1065,
TF-IDF + LR,,0.6265,0.0362,0.7377,0.0691,0.1012,0.7553,0.1378,0.1694,0.4754,
TF-IDF + LR,,0.5784,0.6524,0.5756,0.6116,0.1561,0.613,0.6885,0.0491,0.1342,
DistilBERT,random,0.8668,0.63,0.9048,0.7428,0.6764,0.9437,0.8222,0.3327,0.7048,0.1435
DistilBERT,test=xstest,0.5444,0.4936,0.97,0.6543,0.26,0.704,0.6214,0.03,0.09,0.796
DistilBERT,test=jailbreakbench,0.73,0.7018,0.8,0.7477,0.4646,0.8002,0.8235,0.21,0.48,0.34
DistilBERT,test=deepset,0.6103,0.5269,0.1863,0.2753,0.1071,0.5479,0.4878,0.0342,0.1407,0.1103
DistilBERT,test=toxicchat,0.8291,0.0771,0.7377,0.1395,0.201,0.8428,0.1133,0.0219,0.4481,0.1692
DistilBERT,test=beavertails,0.5775,0.6369,0.6218,0.6293,0.1385,0.5929,0.6471,0.0087,0.0844,0.4828
